condition,name1,name2,prompt,choiceNameFirst,choice1,choice2
asymmetric,Themaglin,Rebosen,Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
asymmetric,Themaglin,Rebosen,Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
symmetric,Themaglin,Rebosen,Themaglin and Rebosen are associated.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
symmetric,Themaglin,Rebosen,Themaglin and Rebosen are associated.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
asymmetric,Themaglin,Denoden,Themaglin is associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
asymmetric,Themaglin,Denoden,Themaglin is associated with Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
symmetric,Themaglin,Denoden,Themaglin and Denoden are associated.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
symmetric,Themaglin,Denoden,Themaglin and Denoden are associated.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
asymmetric,Themaglin,Flembers,Themaglin is associated with Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
asymmetric,Themaglin,Flembers,Themaglin is associated with Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
symmetric,Themaglin,Flembers,Themaglin and Flembers are associated.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
symmetric,Themaglin,Flembers,Themaglin and Flembers are associated.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
asymmetric,Themaglin,Agoriv,Themaglin is associated with Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
asymmetric,Themaglin,Agoriv,Themaglin is associated with Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
symmetric,Themaglin,Agoriv,Themaglin and Agoriv are associated.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
symmetric,Themaglin,Agoriv,Themaglin and Agoriv are associated.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
asymmetric,Themaglin,Ceflar,Themaglin is associated with Ceflar.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
asymmetric,Themaglin,Ceflar,Themaglin is associated with Ceflar.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
symmetric,Themaglin,Ceflar,Themaglin and Ceflar are associated.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
symmetric,Themaglin,Ceflar,Themaglin and Ceflar are associated.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
asymmetric,Rebosen,Themaglin,Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
