targeted,itemType,name1,name2,prompt,choiceNameFirst,choice1,choice2
first,having,Themaglin,Rebosen,Having Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,getting,Themaglin,Rebosen,Getting Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,having,Themaglin,Rebosen,Having Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,getting,Themaglin,Rebosen,Getting Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,having,Themaglin,Rebosen,Themaglin is associated with getting Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,getting,Themaglin,Rebosen,Themaglin is associated with having Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,having,Themaglin,Rebosen,Themaglin is associated with getting Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,getting,Themaglin,Rebosen,Themaglin is associated with having Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,having,Themaglin,Denoden,Having Themaglin is associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,getting,Themaglin,Denoden,Getting Themaglin is associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,having,Themaglin,Denoden,Having Themaglin is associated with Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,getting,Themaglin,Denoden,Getting Themaglin is associated with Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,having,Themaglin,Denoden,Themaglin is associated with getting Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,getting,Themaglin,Denoden,Themaglin is associated with having Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,having,Themaglin,Denoden,Themaglin is associated with getting Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,getting,Themaglin,Denoden,Themaglin is associated with having Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,having,Themaglin,Flembers,Having Themaglin is associated with Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,getting,Themaglin,Flembers,Getting Themaglin is associated with Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,having,Themaglin,Flembers,Having Themaglin is associated with Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,getting,Themaglin,Flembers,Getting Themaglin is associated with Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,having,Themaglin,Flembers,Themaglin is associated with getting Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,getting,Themaglin,Flembers,Themaglin is associated with having Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,having,Themaglin,Flembers,Themaglin is associated with getting Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,getting,Themaglin,Flembers,Themaglin is associated with having Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,having,Themaglin,Agoriv,Having Themaglin is associated with Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,getting,Themaglin,Agoriv,Getting Themaglin is associated with Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,having,Themaglin,Agoriv,Having Themaglin is associated with Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,getting,Themaglin,Agoriv,Getting Themaglin is associated with Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,having,Themaglin,Agoriv,Themaglin is associated with getting Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,getting,Themaglin,Agoriv,Themaglin is associated with having Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,having,Themaglin,Agoriv,Themaglin is associated with getting Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,getting,Themaglin,Agoriv,Themaglin is associated with having Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,having,Themaglin,Ceflar,Having Themaglin is associated with Ceflar.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
first,getting,Themaglin,Ceflar,Getting Themaglin is associated with Ceflar.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
first,having,Themaglin,Ceflar,Having Themaglin is associated with Ceflar.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
first,getting,Themaglin,Ceflar,Getting Themaglin is associated with Ceflar.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
second,having,Themaglin,Ceflar,Themaglin is associated with getting Ceflar.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
second,getting,Themaglin,Ceflar,Themaglin is associated with having Ceflar.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
second,having,Themaglin,Ceflar,Themaglin is associated with getting Ceflar.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
